"序号","算法","文件名","哈希值","大小","创建时间","修改时间","文件路径"
"1","SHA256","secret_1.mp4","1D226C99E95EF42214222B507BAD3706841EEA8AD59B11D20231E0663ED91099","50.08 MB","2025年8月4日 11:09:57","2025年8月4日 11:09:59","K:\完整性校验_6FEC A20A@A\files\origin\secret_1.mp4"
"2","SHA256","secret_1.mp4.sig","5D32C18DBD6AAAC40B8E3F6F38FFA5FD1AF8EE8D71C4388F2757F52C092ABB73","849 B","2025年8月4日 14:07:18","2025年8月4日 14:07:44","K:\完整性校验_6FEC A20A@A\files\sign\secret_1.mp4.sig"
"","","","","","","",""
"校验时间","2025年8月4日 15:11:20","","","","","",""
"校验人姓名","王贵平","","","","","",""
"校验人GPG密钥ID","sec_ID=4BC2 688A 6D17 9053 F19B  C5B2 2FFC AC97 6FEC A20A&pub_ID=839C 460C BDE4 F58A 75BE  482C 8342 EA94 1D2E 1425","","","","","",""
"公钥获取地址","J:\138\138gpg\王贵平_0x6FECA20A_public.asc","","","","","",""
"成功处理文件数","2","","","","","",""
"处理失败文件数","0","","","","","",""
"时间异常文件数","0","","","","","",""
"脚本名称","文件哈希计算与校验脚本","","","","","",""
"脚本设计者","天外流星","","","","","",""
"脚本存储路径","K:\完整性校验_6FEC A20A@A\hash tools\hash test scypt_1.ps1","","","","","",""
"脚本执行时间","2025年8月4日 15:11:20","","","","","",""
